norm,expon,lognorm,gamma,beta,chi2,poisson,uniform,weibull_min
85.7212,28.6029,26.7183,85.1077,57.1943,22.1594,51,46.1527,23.902
56.8537,53.684,25.0319,52.6566,21.512,20.7724,57,52.4238,49.8964
37.8027,45.7657,40.8095,58.5419,38.6842,24.1601,59,41.5402,36.5576
69.0426,77.663,23.2498,24.8489,41.8007,35.4761,63,96.0331,78.5982
24.9589,32.5152,83.122,54.456,41.4008,23.3085,51,59.1474,62.7365
77.8103,50.8113,53.9531,53.1286,71.4088,24.195,52,60.3543,72.2645
62.9,30.8974,41.6169,80.3457,50.0183,25.1455,48,23.5949,49.3963
25.897,26.974,56.6272,20.1506,27.7513,22.85,47,62.1937,46.1912
96.0134,21.7837,59.0399,24.5633,44.9449,23.4818,52,30.9984,21.4642
60.2994,35.7749,81.6823,22.3528,52.5997,22.9738,57,83.9555,45.5058
81.9135,76.0359,43.2137,22.9078,20.3997,26.1378,44,84.88,28.1157
24.1218,51.9402,30.5864,30.1729,42.1295,21.7962,47,29.0845,50.5514
31.4005,32.9814,66.3616,70.8608,28.9716,23.831,52,86.8528,62.0544
41.4439,45.1459,44.9385,47.6741,39.1118,40.4531,54,82.0908,21.1676
88.2827,23.6304,51.6978,58.4963,45.9557,27.3969,50,57.4972,92.0139
53.646,59.6803,42.7333,63.6621,88.8826,22.3346,49,73.6548,23.7491
57.6627,27.8057,25.4105,47.3195,47.6637,38.1756,48,83.2106,45.7854
69.0729,26.0134,73.5571,55.8441,43.1766,24.0306,58,86.3942,32.5794
40.9153,73.4805,76.1243,34.3592,54.8388,26.9951,45,70.6109,36.1859
33.2873,57.3258,29.5273,44.5513,75.4392,28.082,36,34.2265,58.6251
34.2427,67.9641,32.2418,28.3558,90.6209,20.1299,55,48.6847,45.661
49.5781,40.1428,24.904,45.163,37.2388,27.2498,37,42.1433,78.9436
64.3616,35.3287,24.554,92.5658,77.5984,20.6762,52,74.3918,55.2135
45.5775,38.8209,57.9503,58.7203,44.8646,25.7441,61,45.1328,43.6474
82.2194,92.8035,20.9734,51.0513,28.0185,23.5016,58,44.809,81.4498
77.733,35.2514,74.1345,25.5086,41.9352,23.7658,37,56.2571,20.5693
45.5724,25.8757,84.0915,29.0706,60.7164,40.9261,57,46.6613,38.5685
26.0902,40.6105,84.6129,53.1782,43.6999,20.2281,45,23.6101,36.7699
39.1604,48.8394,37.2935,32.8794,70.5448,23.0237,44,51.4444,23.9171
87.8691,32.5521,59.2161,81.9799,27.2892,27.3085,53,80.1825,35.6639
53.4941,33.8938,33.3722,29.3075,68.2054,31.11,37,78.1197,45.9558
52.4229,35.8391,26.7328,30.8099,63.1499,21.5532,41,67.0386,28.501
56.5987,95.743,59.7133,54.6004,43.334,21.6883,47,25.1851,48.9491
66.5766,66.0473,30.6101,50.6766,44.2374,25.3363,44,34.2895,87.3833
49.7324,27.3818,90.2111,45.823,92.6387,22.4306,36,40.8797,73.2247
38.838,27.5622,35.4976,71.643,37.5436,24.0661,40,83.926,24.119
51.821,53.9627,43.8381,55.6021,74.5338,33.2279,52,90.8004,84.0411
81.1399,99.2168,38.4853,99.0964,46.8606,26.5672,49,94.6639,45.6821
47.7687,40.5412,25.8845,60.8295,74.1057,25.5973,52,46.278,48.6751
80.3574,30.9571,68.0512,61.0918,30.3022,41.7395,48,40.7943,47.143
63.2197,88.8536,31.7932,30.9981,86.3374,27.8951,52,93.3258,32.3625
29.0311,88.2309,54.0226,44.8361,47.3198,23.5042,49,99.0525,51.0133
78.8886,53.6016,40.104,35.0017,55.8076,21.8114,64,50.8997,39.1387
42.4569,95.8578,59.7917,36.9887,84.6648,22.3097,49,29.6328,43.8186
33.5714,94.6761,62.5272,27.8334,56.7075,21.4658,41,80.3336,56.88
71.3852,41.2348,85.7896,39.4611,63.6146,20.9586,48,66.9878,54.4478
95.757,42.9149,75.6941,30.8376,37.479,23.1119,53,72.7173,30.674
31.0702,27.8395,84.0533,96.99,66.1906,21.5583,46,56.7305,39.5866
46.9564,83.1962,36.7168,74.2267,47.109,21.0411,46,87.1764,44.0022
37.914,63.2008,60.8623,41.5632,81.2301,21.0221,51,37.4154,63.688
84.0528,24.4559,21.2558,22.1171,29.8119,20.7193,53,63.003,26.3198
88.3004,34.8806,93.7316,31.3037,58.3245,20.2146,44,99.9463,75.2072
50.6031,46.9417,74.5447,55.5871,75.1122,45.4006,48,68.2018,37.0923
30.7805,58.8721,37.8507,23.359,20.9157,24.1642,47,93.9318,45.3056
74.1776,99.7715,21.1297,69.2494,35.0962,30.6394,41,36.5867,52.5945
58.2896,79.1984,32.7074,54.1183,35.2161,27.785,46,60.7388,58.3817
49.9231,23.2352,48.2822,24.8296,78.4626,20.8717,48,77.9501,76.9539
48.9219,41.2396,39.7053,48.8885,73.1759,28.9281,46,92.6049,37.3125
57.1525,33.0815,47.7635,28.9796,71.9425,25.679,46,65.2185,68.7309
74.3733,60.5245,41.0938,28.3856,40.9348,28.48,39,97.6014,68.1076
48.0077,69.0985,22.9828,50.8337,31.4686,22.1741,52,29.1592,74.7951
96.6254,46.4329,29.8482,90.3708,60.9463,26.5353,50,24.3437,64.4938
50.4218,88.3519,20.9231,31.4918,82.7548,26.5313,47,32.3713,26.6091
30.5483,82.9508,24.7513,87.5217,86.5025,25.8106,54,84.773,49.4557
90.0341,32.1794,64.4085,22.4682,40.6323,21.3189,42,88.6224,30.7345
57.0207,40.7031,24.0618,30.6909,68.6674,34.5752,46,23.132,61.5212
80.7519,48.8126,35.7805,64.1916,69.7706,39.1725,52,88.7245,24.1078
91.2517,89.0639,54.6226,32.9074,36.6409,20.4298,52,42.1773,43.5043
73.3254,59.2579,38.4483,26.9014,73.28,32.5469,52,87.4228,59.182
46.5945,23.8282,45.294,98.8832,39.5531,21.0141,59,74.0927,39.6246
82.1905,33.4641,63.2092,52.3361,31.4683,24.4629,47,31.8118,30.1148
54.7076,86.8446,35.0959,92.0376,58.8789,26.6623,51,21.481,38.6416
23.7547,59.7164,51.8906,31.5215,30.7685,32.1072,51,30.6102,55.9756
65.3785,39.585,21.874,97.3218,43.4624,21.7881,50,69.175,47.5529
66.4925,45.1118,23.2058,31.1482,55.1417,27.5301,46,69.9067,57.4948
99.2133,62.5009,55.4816,25.2644,23.831,20.1613,41,58.0357,60.2484
65.1714,69.5937,82.1928,40.8219,31.404,21.3067,55,79.4145,87.1504
55.9472,74.6423,82.7815,66.5772,41.252,24.0418,51,72.6531,36.2579
81.5882,86.1193,30.9229,28.8243,61.9781,26.2064,62,35.2282,41.8282
68.2684,47.0509,56.3735,20.8044,54.3127,28.8189,60,85.6655,92.2247
32.4482,58.7474,70.2002,52.8048,94.3988,20.8708,60,42.2371,73.9391
72.8381,30.8824,46.4384,54.4575,37.19,23.495,49,73.2967,21.7281
90.3384,60.8363,90.9547,46.6005,37.1012,25.6459,55,48.4985,32.8197
47.6543,95.7853,65.5803,44.8503,43.22,33.5864,51,52.1342,32.8212
24.0118,60.0672,22.8747,45.7342,69.0041,31.1284,53,60.5787,48.7576
44.3744,48.9248,94.2829,43.3631,36.4272,26.1663,59,93.3907,50.1143
50.3254,20.973,21.4467,64.0152,23.8422,26.2984,55,43.6821,46.192
43.8297,46.6188,98.0266,42.5999,69.6892,21.4652,55,60.9041,61.408
56.1878,30.5571,55.5419,29.6941,34.3622,25.9808,53,52.3708,67.089
39.1707,40.0778,40.0679,79.8498,59.7608,25.7483,55,41.6528,51.8727
76.8951,50.7637,34.5883,60.5346,33.9464,22.4422,55,66.5079,71.8581
28.7207,29.809,39.9986,29.5981,52.6738,28.5176,50,43.2318,67.7031
46.1334,43.6498,42.1876,47.4384,27.378,28.0964,47,83.8795,80.1379
70.4138,74.851,90.8691,45.0129,74.919,25.728,48,61.2741,24.1357
48.762,33.521,20.2301,91.5131,34.0791,22.0582,40,31.0392,68.8352
87.0218,65.0723,41.2918,89.5885,48.3494,20.3209,52,29.3863,54.2436
76.0446,21.0691,37.6489,57.2813,89.682,24.1926,58,41.6456,48.5654
37.4652,20.1384,56.783,44.1267,46.7732,22.3706,45,46.2327,44.5263
52.5854,51.551,42.993,34.0534,78.764,21.7324,51,99.1924,29.1693
35.9497,27.9441,46.4723,42.4321,65.2231,26.6193,59,21.3247,39.7099
22.715,20.3338,77.4369,61.1699,40.4073,23.4286,46,84.587,77.7504
77.7002,96.3427,33.9647,26.3619,37.2363,26.5747,53,33.5442,56.5515
26.3236,72.3589,63.1859,43.1141,31.029,27.5076,48,70.3599,45.9094
75.3045,65.3861,75.8814,46.169,35.0246,24.0776,42,29.6706,30.5572
78.944,27.1893,47.2112,72.9483,35.5246,31.006,62,25.9737,91.3216
76.7132,97.281,26.0594,33.6116,40.5718,20.5837,62,41.4462,49.993
23.1471,28.483,24.0208,63.1568,22.1034,21.4377,58,79.4064,36.6836
85.6853,28.9296,27.0131,46.0367,86.7308,21.8451,49,52.2686,65.5594
50.8564,38.4815,69.0104,20.3601,45.8936,23.5923,51,32.9206,46.0265
43.5941,22.0177,67.8351,58.1971,77.8273,24.9642,58,54.0014,39.1815
72.2536,30.2407,45.0495,49.6058,71.3932,24.0145,42,74.7125,21.9972
48.4383,75.9007,82.9379,42.8172,59.3309,20.8454,61,38.4238,54.1738
50.7957,59.404,21.7966,33.9937,32.9244,20.748,55,41.3912,44.0285
72.0865,42.6666,32.8025,28.3348,42.5603,22.7917,45,53.7011,48.1361
93.5951,54.3882,27.9849,33.4689,91.2543,25.1252,36,49.9988,40.6954
68.3033,20.8665,56.5996,32.3443,30.5283,20.0107,69,37.9944,50.4504
41.1175,63.2726,58.668,48.5014,66.5456,46.7337,36,50.1623,64.033
57.6903,39.4425,34.0457,36.0858,24.7249,23.7257,56,47.4973,40.0096
79.1882,65.5872,22.4004,27.7651,49.5515,21.2289,42,99.9989,64.1488
38.8191,29.0896,26.5792,28.6988,27.5149,21.4352,53,68.7713,41.0521
31.2027,40.3611,51.9494,92.2006,37.1775,29.7959,62,45.2435,59.3051
56.1599,72.4352,60.9185,74.1876,35.0398,22.8552,55,92.743,23.6992
51.5371,47.4727,45.4196,26.8948,60.1973,22.5725,44,53.9881,49.3241
81.5379,75.6365,28.0818,21.5309,32.9932,26.303,39,42.283,23.8981
81.9216,23.9182,22.9925,45.481,94.2614,26.0722,43,97.135,69.0637
31.4837,44.0427,97.0987,32.7617,47.152,23.1766,59,32.5656,48.6104
70.1258,30.538,44.1091,93.6137,34.9813,20.7359,46,24.5693,32.3006
93.9996,47.9554,87.3937,42.3422,26.4436,26.2802,48,97.0759,55.5518
74.4778,38.1702,61.3152,47.0595,62.7279,23.7086,49,66.869,64.4386
94.7274,45.5361,52.7368,76.5061,77.2842,21.5388,41,92.8034,33.4158
43.9207,20.686,20.1038,91.8145,40.3367,22.3768,49,84.5661,37.4412
56.0918,56.4776,22.5775,81.1749,29.917,27.7987,39,58.573,53.6141
55.9832,41.6031,57.2139,23.405,39.6437,23.0846,53,81.1939,45.9292
73.9034,74.6221,40.8135,49.4958,78.6552,25.3131,46,72.7207,20.4091
63.7247,28.7254,40.4946,53.4807,44.1051,34.3793,63,21.3927,20.8741
23.8037,37.1492,57.9007,34.6184,29.8598,22.8205,55,93.8366,37.914
83.4874,94.8188,31.475,63.1148,40.0919,22.103,50,85.4766,53.4286
31.8992,94.9336,26.811,20.6182,46.9609,24.5111,49,40.1203,63.202
42.6035,46.1053,21.1829,41.6342,47.2313,35.9472,40,68.918,28.663
69.3694,24.1112,32.1903,42.4871,26.5238,28.4672,50,27.0641,40.3255
94.6734,67.1543,30.6344,49.5824,57.875,30.1504,49,78.5356,51.4926
27.4454,60.9558,98.6353,84.6463,57.4719,21.3922,45,58.0699,90.3039
70.3395,49.7682,33.6024,35.0208,56.3173,25.8537,48,28.789,25.4245
48.8585,54.4914,38.5608,46.2314,83.6345,24.5262,58,35.105,69.7055
75.1664,25.124,55.4524,64.4582,67.8563,32.7271,45,48.1077,69.4461
81.7267,76.8347,98.7875,89.0243,21.6592,22.6597,38,69.6722,51.6678
47.4942,45.3742,22.812,32.0659,24.3673,34.7219,54,70.6056,66.7421
48.5033,30.662,21.3108,71.5435,31.529,26.9116,46,33.2327,70.7035
62.7087,88.0431,75.602,54.4699,67.4202,29.3486,46,31.6282,21.364
52.9201,39.4515,47.3694,92.1691,48.3419,27.1554,52,56.5042,41.8709
62.1601,48.9778,50.1989,51.5698,69.9003,28.6148,50,39.5869,69.5083
89.1726,54.3155,52.1777,44.7032,47.6937,25.5068,49,26.9713,23.4728
71.6315,44.8117,31.8634,35.9617,66.0669,20.9588,45,82.309,64.6397
51.0373,92.6047,45.0012,36.7108,39.3268,25.7937,55,87.6086,39.9796
73.7474,90.1721,98.2194,36.0676,23.2138,26.1126,50,40.9732,54.9526
20.4412,41.3384,73.1062,80.4601,90.6023,22.5503,63,40.4573,67.9706
29.9635,77.3472,36.4736,48.6451,34.622,31.768,44,56.3873,43.1154
61.6016,48.188,30.7732,26.9492,25.0951,24.1153,45,25.3211,53.4359
65.4652,25.8377,74.973,48.555,49.1107,28.2799,36,50.6546,54.253
57.8113,24.3446,57.0085,34.5973,73.5778,28.7617,48,44.1374,53.875
41.2287,67.3117,67.9079,64.2287,55.3934,29.5641,45,45.807,42.7901
23.0567,35.1715,29.2007,76.0594,32.9386,26.9015,46,41.2705,65.8729
88.9003,76.0342,69.6459,34.4903,60.1768,21.8855,57,61.0439,74.8263
32.9183,73.848,33.7223,50.562,69.4662,25.5301,41,89.5523,47.8078
47.5025,25.7479,50.4076,21.4296,75.4923,29.2859,48,32.1075,92.7558
59.8277,64.055,56.4193,96.8807,50.4833,23.2679,61,64.7551,74.9366
24.3498,69.1497,89.8982,63.7787,53.1703,30.7079,51,79.8727,49.6318
26.9673,44.6838,65.222,62.5841,32.2764,22.6736,45,67.797,27.5
36.6082,49.0855,64.3659,63.5585,85.6942,39.7301,50,93.9248,38.2958
40.5092,28.6184,43.6678,48.7131,68.6884,25.3261,64,84.8919,47.6337
97.5683,56.557,47.7922,24.7591,48.022,26.6182,53,93.9012,71.3712
61.1502,53.9752,35.1774,52.4838,45.9581,25.0669,56,67.2508,86.5649
43.1321,76.5869,35.1486,57.4964,64.3744,25.6741,49,85.1875,35.2309
42.2368,23.232,59.7901,39.7382,68.2616,24.3666,47,24.5551,92.9416
87.0539,33.8511,66.3875,21.0098,42.8805,36.9728,51,31.5021,31.3341
69.4911,39.5334,48.0707,70.7325,23.3756,20.2553,47,79.1633,60.5418
57.0959,35.5384,32.3567,58.9356,42.3977,22.5577,57,64.2183,23.218
85.6703,63.7161,30.3911,31.8346,72.1348,20.3195,37,52.7841,21.6748
41.4041,33.4461,54.2106,52.7498,37.9493,31.1938,69,67.1263,35.9735
63.744,35.8353,76.9562,40.2138,80.9925,26.369,48,82.8526,60.5989
54.2771,73.72,53.381,61.8756,48.1593,22.1883,51,84.1602,25.9754
82.642,99.6103,97.7266,46.9943,75.5945,22.338,54,68.5191,57.7792
38.5167,24.5933,77.9846,50.8812,27.2544,24.0855,56,99.3933,34.4281
61.5039,27.1019,82.1336,62.038,64.0856,22.469,43,80.6246,78.9627
41.1675,29.7505,31.6045,20.3791,63.114,22.0095,57,97.8964,51.3852
34.7854,23.7089,90.0933,30.8671,61.0203,20.9559,42,98.4702,85.2459
45.8069,70.9488,28.3303,72.4006,70.784,24.1554,59,83.5089,32.1755
21.2321,50.5448,45.3256,23.8664,45.2273,34.5512,60,66.8338,38.9536
27.4136,78.3847,20.8956,67.2909,80.6359,21.2824,47,30.3549,48.0966
34.5353,23.226,74.505,23.1014,76.3059,25.1165,50,93.9611,28.6327
25.8835,22.402,38.6564,43.6161,59.0558,22.0219,38,33.6785,38.2098
51.1068,60.6101,50.741,33.8704,42.6087,21.2918,50,22.3015,32.9868
62.0298,26.1657,20.7239,35.4678,71.9758,24.8914,50,75.0622,47.7319
63.3527,37.5416,48.8785,83.2837,90.8331,31.9511,55,55.9338,23.8141
68.2227,92.7492,97.8746,47.8412,53.561,22.9219,51,50.8506,67.8487
24.7266,30.4845,22.1623,25.4083,76.9087,31.3955,42,41.189,31.0057
31.9841,42.5901,91.6812,30.0274,21.7855,22.2161,41,74.7964,51.6864
31.5594,49.6717,41.9735,22.5043,50.1927,23.6212,53,77.6045,39.9231
88.7695,51.2582,26.6771,71.7166,65.9835,24.6717,40,46.7607,56.3109
50.7383,64.176,27.2477,89.7089,56.7358,32.1562,45,39.1981,87.6804
51.7887,63.9153,41.4736,59.1596,74.0045,21.7016,47,57.7872,27.3248
28.4326,32.1928,40.6414,26.4827,21.1969,27.8082,56,73.0788,35.006
44.6909,30.8525,35.8728,40.8681,55.826,28.8181,56,23.74,56.2984
90.0068,27.253,41.5391,70.7159,51.5962,22.3524,40,31.6894,48.7356
52.5307,81.9906,29.4027,33.344,58.3027,25.3972,43,85.1295,38.2273
98.5122,57.0584,23.6329,41.3501,57.9379,23.1857,48,96.7853,33.0589
40.4653,24.9371,34.3869,77.4155,54.2079,20.1611,56,50.3648,35.6244
74.4852,45.2255,96.7111,70.82,86.1415,22.5728,51,70.9143,52.5704
44.1336,79.0272,24.4915,97.9787,69.7823,20.5641,57,99.7975,86.002
33.3886,79.0191,27.2632,21.5872,77.9397,33.1134,70,84.2872,54.058
23.9387,21.6508,99.4017,40.3235,36.9577,23.1799,56,72.9175,45.6128
64.7855,37.7703,70.9851,33.7904,61.7403,21.5707,48,38.454,39.2109
91.1043,24.2959,23.7241,97.3185,33.1659,23.9732,53,73.2877,55.9967
41.3405,41.9394,59.5005,35.6379,30.1399,24.0758,43,77.3159,40.1939
38.9903,47.9822,20.0301,51.8393,57.0995,20.6226,50,48.9261,38.1028
38.4118,62.4674,27.0261,84.3107,81.7373,24.0183,52,55.4802,27.5846
37.8067,46.606,39.8325,28.5703,47.3217,21.8531,32,20.4236,76.6851
84.1302,20.14,28.7262,51.0761,25.998,26.2062,53,90.3579,41.7715
75.2283,55.6216,33.9494,22.4287,52.2576,21.8352,52,51.0525,29.2557
59.2079,42.1949,62.6894,94.1537,56.8554,28.7084,46,41.8847,95.2196
45.1647,36.2249,95.1909,54.0369,58.8043,25.8146,63,43.4489,39.0827
56.9979,38.7415,52.3786,62.1944,83.4466,27.0084,53,98.3997,47.212
53.3257,31.5095,39.6916,51.6119,27.6494,27.5818,57,71.034,73.5468
80.3157,34.1237,74.5012,39.6952,68.2328,25.1246,58,38.9262,70.2989
49.3365,47.6703,73.4042,26.9969,35.7629,24.7506,48,26.3278,51.7605
98.4934,76.0735,52.7752,77.4377,78.7286,30.5298,54,54.8013,44.5121
63.5029,30.7328,34.631,54.0038,61.6046,21.7067,46,63.5822,34.716
67.1793,73.4527,28.2797,39.7973,76.8654,24.7604,55,24.4487,92.7353
29.8968,31.1881,37.6001,32.0502,52.5369,32.0646,47,82.2546,41.4071
81.6229,41.2645,38.7218,46.1026,62.1072,21.2202,38,77.5113,22.8689
76.4063,72.4089,32.7237,20.239,22.2945,21.9923,49,67.6837,38.1558
91.477,40.7262,43.522,85.1407,35.9284,24.6314,53,52.6411,67.4378
90.7117,24.3478,24.3376,91.0561,57.8928,38.2439,61,67.906,51.0439
51.4002,79.4752,66.0745,33.9767,61.2504,21.1771,50,54.2796,58.8023
88.1497,21.2069,78.4846,43.4405,26.9311,20.055,59,21.7897,90.1112
59.2725,24.9147,20.7054,33.4862,30.1763,24.0527,58,63.7311,54.9806
49.9772,42.3892,32.415,30.3467,30.8231,24.9284,56,71.4386,72.311
73.5081,25.4794,57.6022,52.2988,77.7291,29.4328,56,61.6114,44.3173
30.9588,41.1972,96.0021,20.8338,34.7516,25.3233,50,26.8737,26.1613
91.0906,62.3515,52.2653,51.9076,40.2367,25.5638,47,51.3514,71.7858
30.2626,64.9023,49.3791,34.1133,72.9648,20.295,58,40.7244,28.2094
65.2247,24.4577,32.3008,73.5198,40.0546,22.5721,60,87.7508,46.798
65.8226,24.6725,30.1347,26.94,60.9744,26.8626,52,90.278,50.8366
62.943,35.8435,22.7339,23.689,46.173,27.6847,52,26.5995,67.9958
20.5878,28.5614,51.0159,58.5025,88.3087,26.8689,48,62.1961,21.2454
48.1706,51.7875,20.9805,35.8181,58.4101,22.3128,42,88.1503,35.2897
46.6982,91.3564,26.7357,61.5011,37.6703,21.8008,44,81.3665,28.7276
73.2065,68.3387,29.698,35.1482,35.4166,38.4459,51,85.0756,66.1791
46.1084,63.5921,39.2482,81.5401,26.8088,33.6912,34,57.9882,58.3852
44.0286,83.4316,46.3018,27.3535,42.2202,41.1233,51,57.0114,37.6149
66.9415,26.075,30.37,61.9597,75.8835,24.5921,49,71.2665,57.0438
54.6171,96.13,34.0218,30.7923,61.7445,28.0048,50,76.9242,47.2569
32.7168,44.1611,35.9212,35.6817,57.9678,21.5198,54,74.2738,58.1705
85.1328,21.6097,50.0019,51.4015,57.7346,33.5975,48,49.0832,37.066
49.8612,56.9227,77.1322,36.6022,48.2728,21.6005,53,86.9467,75.3
84.5105,47.4415,94.3349,65.7009,93.055,20.7926,53,72.5325,43.2953
89.3116,46.7932,79.8573,57.0715,75.45,25.2948,56,88.2963,31.9058
60.5944,52.7113,23.7697,77.2573,55.4492,36.1525,37,21.3503,29.3516
40.0671,26.3825,47.8341,47.3836,22.4117,22.9222,44,70.7161,22.5989
37.7472,39.2457,77.8829,34.1444,45.655,39.5622,42,74.1239,23.2279
52.9414,20.2431,80.8789,46.775,53.7552,20.9562,59,70.8668,45.9994
45.6316,39.3514,20.9385,62.8662,29.88,26.3446,54,86.7506,56.4546
24.8623,66.7965,98.2516,30.8351,39.2572,28.3302,43,35.1148,46.2918
21.1657,59.284,65.2967,49.7094,33.1232,21.6574,49,30.6302,25.7895
63.4974,82.4645,86.8542,47.3514,74.8127,23.7408,58,95.8808,29.6772
32.2812,29.8089,45.7476,55.0684,64.8715,26.7821,50,33.396,57.9967
70.8475,34.8751,43.0762,31.1043,42.7761,25.1671,52,24.7565,51.7888
53.2441,42.504,80.7064,56.8951,54.1757,22.7637,44,34.2969,53.2447
69.304,65.5092,90.4139,89.3503,21.2049,22.3099,61,91.9512,35.4872
80.5023,24.2014,52.5434,51.1036,25.2726,21.2725,52,56.4515,40.8741
47.0501,70.1047,68.6687,32.4049,56.9127,24.5531,66,24.942,51.2412
41.0671,59.7662,28.7577,58.5688,25.0034,35.0917,46,88.9105,41.841
75.777,97.3274,31.3037,66.2679,56.1642,26.5,50,83.5145,20.095
66.3827,58.9623,57.6778,35.8666,41.5913,20.2347,44,96.5263,63.5023
34.1104,99.1802,89.8126,41.7572,60.8714,20.0319,50,91.4372,55.1426
76.8167,86.624,51.4517,60.822,49.1911,36.8454,62,85.6338,24.883
79.43,38.4265,63.4421,55.0982,59.8569,23.7235,51,47.8618,82.9368
79.7923,30.9319,23.4632,48.9805,69.1114,20.8477,48,38.8249,66.249
39.521,25.0339,31.8421,20.7776,82.1818,30.337,54,61.2049,39.5374
46.6749,21.0237,41.6526,23.3957,71.9216,20.9139,55,28.1613,50.3739
81.4318,32.0674,71.8164,49.6936,59.5061,20.8554,53,96.6983,46.4698
34.8618,55.0282,24.8132,26.4287,71.6829,37.182,43,38.0275,21.638
44.1826,53.0275,52.7391,66.8706,31.615,25.2893,52,95.2906,99.3409
51.2276,58.0163,24.0637,55.5325,56.094,32.0923,50,99.8014,58.9461
80.5015,38.5711,48.0005,68.5426,23.5811,23.4637,57,93.5907,49.3289
91.3907,39.0424,24.5626,50.0955,73.519,24.4822,31,91.9127,20.5024
40.7838,51.6829,47.3493,46.051,34.5466,30.4442,53,70.6945,33.5295
47.883,25.1199,29.1385,77.8079,48.0617,25.6923,41,48.3282,46.6099
32.3049,74.6122,24.4731,65.3606,62.1562,21.4956,45,93.0341,52.0992
46.9802,70.5243,68.4287,34.808,74.2028,22.2433,44,82.1398,39.6207
